	gene	chr	start	end	tissue	cell.type
1556	Ift172	chr5	31552845	31555105	Heart	Heart.cardiac muscle cell
1557	Ift172	chr5	31630411	31631335	Heart	Heart.cardiac muscle cell
1558	Ikzf2	chr1	69706329	69707181	Heart	Heart.cardiac muscle cell
1559	Ikzf2	chr1	69735310	69736120	Heart	Heart.cardiac muscle cell
1560	Il15	chr8	84912216	84912829	Heart	Heart.cardiac muscle cell
1561	Il15	chr8	84925453	84927503	Heart	Heart.cardiac muscle cell
1562	Il15ra	chr2	11583752	11586768	Heart	Heart.cardiac muscle cell
1563	Il18bp	chr7	109146764	109147650	Heart	Heart.cardiac muscle cell
1564	Immp2l	chr12	41759421	41760429	Heart	Heart.cardiac muscle cell
1565	Immt	chr6	71753552	71755009	Heart	Heart.cardiac muscle cell
1566	Imp3	chr9	56737399	56738616	Heart	Heart.cardiac muscle cell
1567	Imp3	chr9	56739065	56739919	Heart	Heart.cardiac muscle cell
1568	Imp3	chr9	56771868	56772862	Heart	Heart.cardiac muscle cell
1569	Ing4	chr6	124996348	124997205	Heart	Heart.cardiac muscle cell
1570	Ing4	chr6	125031441	125033668	Heart	Heart.cardiac muscle cell
1571	Inpp5e	chr2	26219901	26221086	Heart	Heart.cardiac muscle cell
1572	Inpp5e	chr2	26223783	26224844	Heart	Heart.cardiac muscle cell
1573	Inpp5e	chr2	26253909	26255978	Heart	Heart.cardiac muscle cell
1574	Inpp5j	chr11	3406953	3407848	Heart	Heart.cardiac muscle cell
1575	Inpp5j	chr11	3408341	3410123	Heart	Heart.cardiac muscle cell
1576	Inpp5j	chr11	3426050	3428223	Heart	Heart.cardiac muscle cell
1577	Inpp5j	chr11	3435027	3436400	Heart	Heart.cardiac muscle cell
1581	Insr	chr8	3278075	3280803	Heart	Heart.cardiac muscle cell
1582	Ints1	chr5	140257281	140257939	Heart	Heart.cardiac muscle cell
1587	Ints10	chr8	71349572	71350687	Heart	Heart.cardiac muscle cell
1588	Ints4	chr7	104594648	104596323	Heart	Heart.cardiac muscle cell
1589	Ints4	chr7	104640940	104641654	Heart	Heart.cardiac muscle cell
1590	Ints4	chr7	104648911	104649957	Heart	Heart.cardiac muscle cell
1591	Ints4	chr7	104662854	104663879	Heart	Heart.cardiac muscle cell
1592	Intu	chr3	40429831	40432161	Heart	Heart.cardiac muscle cell
1593	Intu	chr3	40432732	40433560	Heart	Heart.cardiac muscle cell
1594	Intu	chr3	40457815	40458393	Heart	Heart.cardiac muscle cell
1595	Intu	chr3	40458804	40459866	Heart	Heart.cardiac muscle cell
1596	Intu	chr3	40485928	40487694	Heart	Heart.cardiac muscle cell
1597	Ipo13	chr4	117581191	117582168	Heart	Heart.cardiac muscle cell
1598	Ipo13	chr4	117586560	117588655	Heart	Heart.cardiac muscle cell
1599	Ipo5	chr14	121266078	121266902	Heart	Heart.cardiac muscle cell
1600	Ipo5	chr14	121267034	121268154	Heart	Heart.cardiac muscle cell
1601	Ipo5	chr14	121273799	121275686	Heart	Heart.cardiac muscle cell
1602	Ipo7	chr7	117136351	117137789	Heart	Heart.cardiac muscle cell
1603	Iqcb1	chr16	36816669	36818007	Heart	Heart.cardiac muscle cell
1604	Iqcc	chr4	129285386	129287950	Heart	Heart.cardiac muscle cell
1605	Irgq	chr7	25290917	25293197	Heart	Heart.cardiac muscle cell
1606	Irgq	chr7	25301371	25303276	Heart	Heart.cardiac muscle cell
1607	Isca2	chr12	86125135	86126495	Heart	Heart.cardiac muscle cell
1608	Itfg2	chr6	128385472	128385913	Heart	Heart.cardiac muscle cell
1609	Itfg2	chr6	128386329	128386945	Heart	Heart.cardiac muscle cell
1610	Itgb6	chr2	60526773	60527777	Heart	Heart.cardiac muscle cell
1611	Itgb6	chr2	60535587	60536802	Heart	Heart.cardiac muscle cell
1612	Itgb6	chr2	60540234	60542183	Heart	Heart.cardiac muscle cell
1613	Itgb6	chr2	60550334	60551428	Heart	Heart.cardiac muscle cell
1614	Itgb6	chr2	60557898	60559521	Heart	Heart.cardiac muscle cell
1615	Ivd	chr2	118707777	118709485	Heart	Heart.cardiac muscle cell
1616	Jmjd4	chr11	59241490	59242171	Heart	Heart.cardiac muscle cell
1617	Jmjd4	chr11	59272232	59273294	Heart	Heart.cardiac muscle cell
1618	Jmjd6	chr11	116669355	116670101	Heart	Heart.cardiac muscle cell
1619	Jmjd6	chr11	116671902	116673181	Heart	Heart.cardiac muscle cell
1620	Jmjd6	chr11	116682155	116683170	Heart	Heart.cardiac muscle cell
1621	Jmjd6	chr11	116725630	116726451	Heart	Heart.cardiac muscle cell
1622	Jmjd6	chr11	116729379	116729972	Heart	Heart.cardiac muscle cell
1623	Jmjd6	chr11	116746309	116747753	Heart	Heart.cardiac muscle cell
1624	Jmjd7	chr2	119849891	119850457	Heart	Heart.cardiac muscle cell
1625	Jmjd7	chr2	119880245	119881597	Heart	Heart.cardiac muscle cell
1626	Jmjd7	chr2	119894586	119896370	Heart	Heart.cardiac muscle cell
1627	Jmjd7	chr2	119901730	119902719	Heart	Heart.cardiac muscle cell
1628	Jmy	chr13	94228416	94229397	Heart	Heart.cardiac muscle cell
1629	Katna1	chr10	7407918	7409004	Heart	Heart.cardiac muscle cell
1630	Katna1	chr10	7494609	7495642	Heart	Heart.cardiac muscle cell
1631	Kbtbd12	chr6	88571610	88572515	Heart	Heart.cardiac muscle cell
1632	Kbtbd4	chr2	90706477	90707243	Heart	Heart.cardiac muscle cell
1633	Kbtbd4	chr2	90710079	90711283	Heart	Heart.cardiac muscle cell
1634	Kbtbd4	chr2	90711345	90712167	Heart	Heart.cardiac muscle cell
1635	Kbtbd4	chr2	90729420	90730733	Heart	Heart.cardiac muscle cell
1636	Kbtbd4	chr2	90751091	90752183	Heart	Heart.cardiac muscle cell
1637	Kcmf1	chr6	72823002	72823837	Heart	Heart.cardiac muscle cell
1638	Kcmf1	chr6	72832297	72833395	Heart	Heart.cardiac muscle cell
1639	Kcmf1	chr6	72845020	72845388	Heart	Heart.cardiac muscle cell
1640	Kcng2	chr18	80513188	80514360	Heart	Heart.cardiac muscle cell
1641	Kcng2	chr18	80519155	80519903	Heart	Heart.cardiac muscle cell
1642	Kcng2	chr18	80526554	80527475	Heart	Heart.cardiac muscle cell
1643	Kcng2	chr18	80527532	80528601	Heart	Heart.cardiac muscle cell
1644	Kcng2	chr18	80528715	80529750	Heart	Heart.cardiac muscle cell
1645	Kcng2	chr18	80534226	80535173	Heart	Heart.cardiac muscle cell
1646	Kcng2	chr18	80545663	80546886	Heart	Heart.cardiac muscle cell
1647	Kcng2	chr18	80548503	80548920	Heart	Heart.cardiac muscle cell
1648	Kcng2	chr18	80556534	80557143	Heart	Heart.cardiac muscle cell
1649	Kcng2	chr18	80557738	80558157	Heart	Heart.cardiac muscle cell
1650	Kcng2	chr18	80568606	80569321	Heart	Heart.cardiac muscle cell
1651	Kcng2	chr18	80569385	80570442	Heart	Heart.cardiac muscle cell
1652	Kcng2	chr18	80573772	80574924	Heart	Heart.cardiac muscle cell
1653	Kcng2	chr18	80605103	80606256	Heart	Heart.cardiac muscle cell
1654	Kcnh2	chr5	23825828	23826842	Heart	Heart.cardiac muscle cell
1660	Kcnh2	chr5	23863224	23863704	Heart	Heart.cardiac muscle cell
1661	Kcnh2	chr5	23866340	23867305	Heart	Heart.cardiac muscle cell
1662	Kcnh2	chr5	23888908	23890702	Heart	Heart.cardiac muscle cell
1663	Kcnh2	chr5	23893021	23894225	Heart	Heart.cardiac muscle cell
1664	Kcnip2	chr19	45879137	45880222	Heart	Heart.cardiac muscle cell
1665	Kcnip2	chr19	45889465	45891792	Heart	Heart.cardiac muscle cell
1666	Kcnip2	chr19	45900440	45902204	Heart	Heart.cardiac muscle cell
1667	Kcnip2	chr19	45909810	45910717	Heart	Heart.cardiac muscle cell
1668	Kcnip2	chr19	45928780	45930393	Heart	Heart.cardiac muscle cell
1672	Kcnj11	chr7	53380167	53381292	Heart	Heart.cardiac muscle cell
1673	Kcnj11	chr7	53389052	53389809	Heart	Heart.cardiac muscle cell
1674	Kcnj12	chr11	60790081	60791273	Heart	Heart.cardiac muscle cell
1675	Kcnj12	chr11	60795264	60796787	Heart	Heart.cardiac muscle cell
1676	Kcnj12	chr11	60798396	60799125	Heart	Heart.cardiac muscle cell
1677	Kcnj12	chr11	60835002	60837184	Heart	Heart.cardiac muscle cell
1678	Kcnj12	chr11	60838401	60839759	Heart	Heart.cardiac muscle cell
1679	Kcnj12	chr11	60873141	60875086	Heart	Heart.cardiac muscle cell
1680	Kcnj12	chr11	60904837	60905824	Heart	Heart.cardiac muscle cell
1681	Kcnj12	chr11	60917425	60918486	Heart	Heart.cardiac muscle cell
1682	Kcnj2	chr11	110929049	110929445	Heart	Heart.cardiac muscle cell
1683	Kcnj2	chr11	110947963	110948921	Heart	Heart.cardiac muscle cell
1684	Kcnj3	chr2	55284305	55285031	Heart	Heart.cardiac muscle cell
1685	Kcnj3	chr2	55286913	55287264	Heart	Heart.cardiac muscle cell
1686	Kcnj3	chr2	55331497	55333304	Heart	Heart.cardiac muscle cell
1687	Kcnj5	chr9	32121379	32122346	Heart	Heart.cardiac muscle cell
1688	Kcnj5	chr9	32147609	32149525	Heart	Heart.cardiac muscle cell
1689	Kcnj5	chr9	32157762	32158625	Heart	Heart.cardiac muscle cell
1700	Kcnn2	chr18	45437426	45438384	Heart	Heart.cardiac muscle cell
1701	Kcnn2	chr18	45448532	45449460	Heart	Heart.cardiac muscle cell
1702	Kcnn2	chr18	45717746	45721162	Heart	Heart.cardiac muscle cell
1704	Kcnq1	chr7	150271935	150273561	Heart	Heart.cardiac muscle cell
1710	Kcnq1	chr7	150324548	150325551	Heart	Heart.cardiac muscle cell
1711	Kcnq1	chr7	150325630	150326398	Heart	Heart.cardiac muscle cell
1712	Kcnq1	chr7	150339549	150340397	Heart	Heart.cardiac muscle cell
1713	Kctd1	chr18	15220723	15223733	Heart	Heart.cardiac muscle cell
1714	Keap1	chr9	21024407	21026428	Heart	Heart.cardiac muscle cell
1715	Keap1	chr9	21048283	21049668	Heart	Heart.cardiac muscle cell
1716	Keap1	chr9	21053939	21055399	Heart	Heart.cardiac muscle cell
1725	Kif16b	chr2	142704959	142705913	Heart	Heart.cardiac muscle cell
1726	Kif16b	chr2	142707010	142707764	Heart	Heart.cardiac muscle cell
1727	Kif16b	chr2	142708418	142709555	Heart	Heart.cardiac muscle cell
1728	Kif1b	chr4	148697492	148698488	Heart	Heart.cardiac muscle cell
1729	Kif1b	chr4	148699152	148700253	Heart	Heart.cardiac muscle cell
1730	Kif1b	chr4	148701354	148701779	Heart	Heart.cardiac muscle cell
1731	Kif1b	chr4	148711235	148712869	Heart	Heart.cardiac muscle cell
1732	Kif1b	chr4	148718290	148718919	Heart	Heart.cardiac muscle cell
1733	Kif1b	chr4	148719762	148720447	Heart	Heart.cardiac muscle cell
1734	Kif1c	chr11	70476668	70477785	Heart	Heart.cardiac muscle cell
1735	Kif1c	chr11	70515506	70516701	Heart	Heart.cardiac muscle cell
1736	Klhdc1	chr12	70310897	70312426	Heart	Heart.cardiac muscle cell
1737	Klhdc10	chr6	30305498	30307172	Heart	Heart.cardiac muscle cell
1738	Klhdc10	chr6	30307395	30308297	Heart	Heart.cardiac muscle cell
1739	Klhdc10	chr6	30309696	30310591	Heart	Heart.cardiac muscle cell
1740	Klhdc3	chr17	46798854	46800207	Heart	Heart.cardiac muscle cell
1741	Klhdc3	chr17	46815812	46816380	Heart	Heart.cardiac muscle cell
1742	Klhdc8a	chr1	134207262	134208426	Heart	Heart.cardiac muscle cell
1743	Klhl21	chr4	151355313	151355872	Heart	Heart.cardiac muscle cell
1744	Klhl21	chr4	151381636	151385233	Heart	Heart.cardiac muscle cell
1747	Klhl21	chr4	151400114	151402781	Heart	Heart.cardiac muscle cell
1748	Klhl30	chr1	93209540	93210774	Heart	Heart.cardiac muscle cell
1749	Klhl30	chr1	93243178	93244005	Heart	Heart.cardiac muscle cell
1750	Klhl30	chr1	93276900	93278267	Heart	Heart.cardiac muscle cell
1751	Klhl31	chr9	77463411	77464119	Heart	Heart.cardiac muscle cell
1752	Klhl31	chr9	77476276	77477445	Heart	Heart.cardiac muscle cell
1753	Klhl31	chr9	77502739	77504367	Heart	Heart.cardiac muscle cell
1754	Klhl38	chr15	58118301	58118934	Heart	Heart.cardiac muscle cell
1755	Klhl38	chr15	58156876	58157702	Heart	Heart.cardiac muscle cell
1756	Klhl38	chr15	58174801	58176956	Heart	Heart.cardiac muscle cell
1757	Kpna1	chr16	35948999	35950246	Heart	Heart.cardiac muscle cell
1758	Kpna2	chr11	106819629	106820394	Heart	Heart.cardiac muscle cell
1759	Kpna2	chr11	106855490	106856598	Heart	Heart.cardiac muscle cell
1760	Kpna2	chr11	106873441	106874402	Heart	Heart.cardiac muscle cell
1761	Kpna6	chr4	129378743	129380484	Heart	Heart.cardiac muscle cell
1762	Kptn	chr7	16740778	16742046	Heart	Heart.cardiac muscle cell
1763	Krcc1	chr6	71177062	71177967	Heart	Heart.cardiac muscle cell
1764	Krcc1	chr6	71184864	71187681	Heart	Heart.cardiac muscle cell
1765	Krcc1	chr6	71209937	71210542	Heart	Heart.cardiac muscle cell
1766	Krcc1	chr6	71218981	71219876	Heart	Heart.cardiac muscle cell
1767	Krr1	chr10	111369703	111370405	Heart	Heart.cardiac muscle cell
1768	Krr1	chr10	111371991	111373013	Heart	Heart.cardiac muscle cell
1769	Krr1	chr10	111373037	111374751	Heart	Heart.cardiac muscle cell
1770	Krt222	chr11	99069419	99070334	Heart	Heart.cardiac muscle cell
1771	Krt222	chr11	99077302	99078517	Heart	Heart.cardiac muscle cell
1772	L2hgdh	chr12	70858405	70860456	Heart	Heart.cardiac muscle cell
1773	Lad1	chr1	137707656	137708397	Heart	Heart.cardiac muscle cell
1774	Lad1	chr1	137708769	137710091	Heart	Heart.cardiac muscle cell
1777	Lad1	chr1	137743650	137744913	Heart	Heart.cardiac muscle cell
1778	Lad1	chr1	137747164	137747823	Heart	Heart.cardiac muscle cell
1779	Lad1	chr1	137751100	137752989	Heart	Heart.cardiac muscle cell
1780	Lad1	chr1	137761801	137762853	Heart	Heart.cardiac muscle cell
1781	Lamb3	chr1	195081734	195083493	Heart	Heart.cardiac muscle cell
1782	Lamb3	chr1	195104372	195105346	Heart	Heart.cardiac muscle cell
1783	Lamb3	chr1	195141956	195142988	Heart	Heart.cardiac muscle cell
1784	Lamb3	chr1	195143075	195143863	Heart	Heart.cardiac muscle cell
1785	Lamb3	chr1	195152322	195154308	Heart	Heart.cardiac muscle cell
1786	Lamb3	chr1	195156088	195157251	Heart	Heart.cardiac muscle cell
1787	Lamb3	chr1	195158771	195159447	Heart	Heart.cardiac muscle cell
1788	Lamb3	chr1	195162297	195165401	Heart	Heart.cardiac muscle cell
1789	Lars	chr18	42374025	42374799	Heart	Heart.cardiac muscle cell
1790	Lars	chr18	42383891	42385063	Heart	Heart.cardiac muscle cell
1791	Ldb3	chr14	35356774	35358123	Heart	Heart.cardiac muscle cell
1792	Ldb3	chr14	35361424	35363301	Heart	Heart.cardiac muscle cell
1793	Ldb3	chr14	35366993	35367700	Heart	Heart.cardiac muscle cell
1801	Ldb3	chr14	35408841	35409384	Heart	Heart.cardiac muscle cell
1802	Ldb3	chr14	35429672	35430401	Heart	Heart.cardiac muscle cell
1803	Ldb3	chr14	35433398	35434763	Heart	Heart.cardiac muscle cell
1804	Ldhd	chr8	114118103	114120203	Heart	Heart.cardiac muscle cell
1805	Ldhd	chr8	114147717	114149235	Heart	Heart.cardiac muscle cell
1806	Ldhd	chr8	114149675	114150975	Heart	Heart.cardiac muscle cell
1807	Leng1	chr7	3626171	3627143	Heart	Heart.cardiac muscle cell
1808	Letm1	chr5	34080436	34081440	Heart	Heart.cardiac muscle cell
1809	Letm1	chr5	34161572	34164374	Heart	Heart.cardiac muscle cell
1810	Lgals4	chr7	29580532	29582394	Heart	Heart.cardiac muscle cell
1814	Lgals4	chr7	29615676	29617676	Heart	Heart.cardiac muscle cell
1815	Lgals4	chr7	29652210	29653203	Heart	Heart.cardiac muscle cell
1816	Lgr6	chr1	136979678	136981088	Heart	Heart.cardiac muscle cell
1817	Lgr6	chr1	136991344	136993349	Heart	Heart.cardiac muscle cell
1818	Lgr6	chr1	136994423	136996197	Heart	Heart.cardiac muscle cell
1819	Lgr6	chr1	137050587	137051619	Heart	Heart.cardiac muscle cell
1820	Lias	chr5	65792427	65793587	Heart	Heart.cardiac muscle cell
1823	Limk2	chr11	3286569	3288126	Heart	Heart.cardiac muscle cell
1824	Lin37	chr7	31357415	31358565	Heart	Heart.cardiac muscle cell
1825	Lin7c	chr2	109724039	109725460	Heart	Heart.cardiac muscle cell
1826	Lin7c	chr2	109743744	109744904	Heart	Heart.cardiac muscle cell
1827	Lman2l	chr1	36548941	36550397	Heart	Heart.cardiac muscle cell
1840	Lmod3	chr6	97161897	97162436	Heart	Heart.cardiac muscle cell
1841	Lmod3	chr6	97200656	97201695	Heart	Heart.cardiac muscle cell
1845	Lonp1	chr17	56807834	56808775	Heart	Heart.cardiac muscle cell
1846	Lpin1	chr12	16557624	16559755	Heart	Heart.cardiac muscle cell
1847	Lpin1	chr12	16568981	16570598	Heart	Heart.cardiac muscle cell
1848	Lpin1	chr12	16575151	16576756	Heart	Heart.cardiac muscle cell
1858	Lrrc10	chr10	116432815	116434193	Heart	Heart.cardiac muscle cell
1859	Lrrc10	chr10	116449977	116452051	Heart	Heart.cardiac muscle cell
1860	Lrrc10	chr10	116470701	116472086	Heart	Heart.cardiac muscle cell
1861	Lrrc10	chr10	116479180	116479959	Heart	Heart.cardiac muscle cell
1862	Lrrc10	chr10	116480538	116481331	Heart	Heart.cardiac muscle cell
1863	Lrrc10	chr10	116486970	116487525	Heart	Heart.cardiac muscle cell
1864	Lrrc2	chr9	110824605	110825795	Heart	Heart.cardiac muscle cell
1865	Lrrc2	chr9	110855855	110857227	Heart	Heart.cardiac muscle cell
1866	Lrrc2	chr9	110857307	110858059	Heart	Heart.cardiac muscle cell
1867	Lrrc2	chr9	110858155	110858963	Heart	Heart.cardiac muscle cell
1868	Lrrc2	chr9	110864769	110865354	Heart	Heart.cardiac muscle cell
1869	Lrrc2	chr9	110866068	110866555	Heart	Heart.cardiac muscle cell
1871	Lrrc2	chr9	110899584	110900458	Heart	Heart.cardiac muscle cell
1872	Lrrc20	chr10	60936386	60936831	Heart	Heart.cardiac muscle cell
1873	Lrrc27	chr7	146393841	146394665	Heart	Heart.cardiac muscle cell
1874	Lrrc27	chr7	146414147	146415254	Heart	Heart.cardiac muscle cell
1875	Lrrc27	chr7	146415324	146416213	Heart	Heart.cardiac muscle cell
1876	Lrrc27	chr7	146419262	146420158	Heart	Heart.cardiac muscle cell
1877	Lrrc27	chr7	146420514	146422016	Heart	Heart.cardiac muscle cell
1878	Lrrc28	chr7	74758385	74759626	Heart	Heart.cardiac muscle cell
1879	Lrrc28	chr7	74775447	74776505	Heart	Heart.cardiac muscle cell
1880	Lrrc28	chr7	74816996	74818297	Heart	Heart.cardiac muscle cell
1881	Lrrc39	chr3	116238895	116240456	Heart	Heart.cardiac muscle cell
1882	Lrrc57	chr2	120454133	120455671	Heart	Heart.cardiac muscle cell
1883	Lrrfip2	chr9	110994892	110995572	Heart	Heart.cardiac muscle cell
1884	Lrrfip2	chr9	110995603	110996162	Heart	Heart.cardiac muscle cell
1885	Lrrfip2	chr9	111024867	111025333	Heart	Heart.cardiac muscle cell
1886	Lrrfip2	chr9	111030118	111030654	Heart	Heart.cardiac muscle cell
1887	Lrrfip2	chr9	111047031	111047631	Heart	Heart.cardiac muscle cell
1888	Lrrfip2	chr9	111048077	111049218	Heart	Heart.cardiac muscle cell
1889	Lrrfip2	chr9	111051525	111052363	Heart	Heart.cardiac muscle cell
1890	Lrtm1	chr14	29836404	29836888	Heart	Heart.cardiac muscle cell
1891	Lrtm1	chr14	29843017	29844209	Heart	Heart.cardiac muscle cell
1892	Lrtm1	chr14	29853823	29856123	Heart	Heart.cardiac muscle cell
1893	Lsg1	chr16	30596841	30597825	Heart	Heart.cardiac muscle cell
1894	Lsm12	chr11	102070897	102071851	Heart	Heart.cardiac muscle cell
1898	Ltn1	chr16	87393663	87395009	Heart	Heart.cardiac muscle cell
1899	Ltn1	chr16	87470243	87471257	Heart	Heart.cardiac muscle cell
1900	Luc7l3	chr11	94137908	94139079	Heart	Heart.cardiac muscle cell
1901	Luc7l3	chr11	94142467	94143948	Heart	Heart.cardiac muscle cell
1902	Lyrm7	chr11	54692715	54693848	Heart	Heart.cardiac muscle cell
1903	Lyrm7	chr11	54694384	54695086	Heart	Heart.cardiac muscle cell
1904	Lyrm7	chr11	54719250	54720112	Heart	Heart.cardiac muscle cell
1905	Lzic	chr4	148819148	148820413	Heart	Heart.cardiac muscle cell
1906	Lzic	chr4	148831949	148832558	Heart	Heart.cardiac muscle cell
1907	Lzic	chr4	148863633	148864425	Heart	Heart.cardiac muscle cell
1908	Macrod1	chr19	7118867	7119620	Heart	Heart.cardiac muscle cell
1909	Macrod1	chr19	7138910	7139590	Heart	Heart.cardiac muscle cell
1910	Macrod1	chr19	7142295	7143005	Heart	Heart.cardiac muscle cell
1911	Mad2l1bp	chr17	46256157	46257124	Heart	Heart.cardiac muscle cell
1912	Mad2l1bp	chr17	46260319	46261932	Heart	Heart.cardiac muscle cell
1913	Mad2l1bp	chr17	46268860	46270125	Heart	Heart.cardiac muscle cell
1914	Mad2l1bp	chr17	46303782	46304450	Heart	Heart.cardiac muscle cell
1915	Mad2l1bp	chr17	46305055	46306069	Heart	Heart.cardiac muscle cell
1916	Magi3	chr3	104022548	104025576	Heart	Heart.cardiac muscle cell
1917	Magi3	chr3	104037349	104038225	Heart	Heart.cardiac muscle cell
1920	Map2k3	chr11	60766917	60768430	Heart	Heart.cardiac muscle cell
1921	Map2k3	chr11	60790081	60791273	Heart	Heart.cardiac muscle cell
1922	Map2k4	chr11	65566770	65568221	Heart	Heart.cardiac muscle cell
1923	Map2k5	chr9	63193299	63195160	Heart	Heart.cardiac muscle cell
1924	Map2k7	chr8	4192104	4194021	Heart	Heart.cardiac muscle cell
1925	Map3k4	chr17	12469306	12471527	Heart	Heart.cardiac muscle cell
1926	Map3k4	chr17	12493081	12494607	Heart	Heart.cardiac muscle cell
1927	Map3k4	chr17	12498026	12498805	Heart	Heart.cardiac muscle cell
1928	Map3k4	chr17	12520455	12521857	Heart	Heart.cardiac muscle cell
1929	Map3k4	chr17	12528582	12529779	Heart	Heart.cardiac muscle cell
1930	Map3k4	chr17	12560071	12560782	Heart	Heart.cardiac muscle cell
1931	Mapk10	chr5	103604927	103605946	Heart	Heart.cardiac muscle cell
1932	Mapk10	chr5	103606034	103606739	Heart	Heart.cardiac muscle cell
1933	Mapk8ip3	chr17	25035850	25036527	Heart	Heart.cardiac muscle cell
1934	Mapkapk5	chr5	121976191	121977663	Heart	Heart.cardiac muscle cell
1936	Mapt	chr11	104091738	104094424	Heart	Heart.cardiac muscle cell
1937	Mapt	chr11	104095070	104095778	Heart	Heart.cardiac muscle cell
1938	Mapt	chr11	104098325	104100025	Heart	Heart.cardiac muscle cell
1939	Mapt	chr11	104110360	104111309	Heart	Heart.cardiac muscle cell
1940	Mapt	chr11	104128505	104129193	Heart	Heart.cardiac muscle cell
1941	Mapt	chr11	104130563	104131283	Heart	Heart.cardiac muscle cell
1942	Mapt	chr11	104133153	104134155	Heart	Heart.cardiac muscle cell
1943	Mapt	chr11	104139460	104140788	Heart	Heart.cardiac muscle cell
1944	March5	chr19	37233488	37234465	Heart	Heart.cardiac muscle cell
1945	March5	chr19	37251634	37251914	Heart	Heart.cardiac muscle cell
1946	March5	chr19	37252219	37253375	Heart	Heart.cardiac muscle cell
1947	March6	chr15	31471721	31473508	Heart	Heart.cardiac muscle cell
1949	Mast2	chr4	116135653	116137791	Heart	Heart.cardiac muscle cell
1951	Mcat	chr15	83353674	83353994	Heart	Heart.cardiac muscle cell
1952	Mcat	chr15	83354087	83355105	Heart	Heart.cardiac muscle cell
1953	Mcat	chr15	83360362	83361551	Heart	Heart.cardiac muscle cell
1954	Mcat	chr15	83365362	83366567	Heart	Heart.cardiac muscle cell
1955	Mcat	chr15	83369957	83370744	Heart	Heart.cardiac muscle cell
1956	Mccc2	chr13	100771535	100772460	Heart	Heart.cardiac muscle cell
1957	Mcts2	chr2	152519938	152520863	Heart	Heart.cardiac muscle cell
1958	Mcts2	chr2	152522016	152523056	Heart	Heart.cardiac muscle cell
1959	Mcts2	chr2	152532682	152534098	Heart	Heart.cardiac muscle cell
1960	Mdga1	chr17	29978463	29979567	Heart	Heart.cardiac muscle cell
1961	Mdga1	chr17	29983264	29984616	Heart	Heart.cardiac muscle cell
1962	Mdga1	chr17	29989852	29990612	Heart	Heart.cardiac muscle cell
1963	Mdga1	chr17	30010212	30011535	Heart	Heart.cardiac muscle cell
1964	Mdga1	chr17	30019676	30020340	Heart	Heart.cardiac muscle cell
1965	Mdga1	chr17	30023523	30026675	Heart	Heart.cardiac muscle cell
1966	Mdga1	chr17	30065614	30066801	Heart	Heart.cardiac muscle cell
1967	Mdp1	chr14	56275653	56276380	Heart	Heart.cardiac muscle cell
1968	Me3	chr7	96792901	96794056	Heart	Heart.cardiac muscle cell
1969	Mecr	chr4	131352144	131354025	Heart	Heart.cardiac muscle cell
1970	Mecr	chr4	131416327	131417620	Heart	Heart.cardiac muscle cell
1971	Med10	chr13	69899961	69901015	Heart	Heart.cardiac muscle cell
1972	Med16	chr10	79327253	79329157	Heart	Heart.cardiac muscle cell
1973	Med16	chr10	79345888	79347639	Heart	Heart.cardiac muscle cell
1974	Med16	chr10	79396760	79397525	Heart	Heart.cardiac muscle cell
1975	Med16	chr10	79399008	79400504	Heart	Heart.cardiac muscle cell
1977	Med24	chr11	98557233	98557942	Heart	Heart.cardiac muscle cell
1978	Med24	chr11	98571530	98572271	Heart	Heart.cardiac muscle cell
1979	Med24	chr11	98582618	98583833	Heart	Heart.cardiac muscle cell
1990	Med29	chr7	29171115	29171868	Heart	Heart.cardiac muscle cell
1991	Med9	chr11	59713175	59714186	Heart	Heart.cardiac muscle cell
1992	Med9	chr11	59774383	59775386	Heart	Heart.cardiac muscle cell
1993	Med9	chr11	59776881	59777287	Heart	Heart.cardiac muscle cell
1994	Med9	chr11	59777415	59779707	Heart	Heart.cardiac muscle cell
2005	Mef2d	chr3	87985143	87985663	Heart	Heart.cardiac muscle cell
2006	Mettl14	chr3	123054423	123054780	Heart	Heart.cardiac muscle cell
2007	Mettl14	chr3	123056147	123057142	Heart	Heart.cardiac muscle cell
2008	Mettl14	chr3	123057326	123057707	Heart	Heart.cardiac muscle cell
2009	Mettl14	chr3	123058118	123058809	Heart	Heart.cardiac muscle cell
2010	Mettl14	chr3	123074646	123075410	Heart	Heart.cardiac muscle cell
2011	Mettl17	chr14	52522217	52524130	Heart	Heart.cardiac muscle cell
2012	Mfn1	chr3	32407557	32410546	Heart	Heart.cardiac muscle cell
2013	Mfn1	chr3	32436000	32437282	Heart	Heart.cardiac muscle cell
2014	Mfn2	chr4	147256373	147257599	Heart	Heart.cardiac muscle cell
2021	Mgea5	chr19	45820502	45821226	Heart	Heart.cardiac muscle cell
2022	Mgea5	chr19	45879137	45880222	Heart	Heart.cardiac muscle cell
2023	Mgea5	chr19	45889465	45891792	Heart	Heart.cardiac muscle cell
2024	Mgea5	chr19	45900440	45902204	Heart	Heart.cardiac muscle cell
2025	Mgrn1	chr16	4871702	4872533	Heart	Heart.cardiac muscle cell
2029	Mgrn1	chr16	4912753	4914859	Heart	Heart.cardiac muscle cell
2030	Mgrn1	chr16	4915763	4916475	Heart	Heart.cardiac muscle cell
